id,type,text,options,e_name,e_skill,e_hp,next,bgm,bgi,effect,,
11,normal,"【玉鬘の当惑/Tamakazura's Perplexity】\n\n源氏の露骨なアプローチに対し、玉鬘は困惑しきっています。彼女は亡き母・夕顔の面影を追う源氏の孤独を感じつつも、自分がその代わりを務めることに強い抵抗を感じていました。彼女の沈黙は、無言の抵抗でもありました。\n\n【English】\n\nTamakazura is utterly perplexed by Genji's overt advances. While she senses Genji's loneliness in chasing the shadow of her late mother, Yugao, she feels a strong resistance to serving as a substitute. Her silence is a wordless protest.","静かに去る (Leave quietly)→12,前の場面へ (Previous)→10",,,,,melancholy.mp3,moonlight.jpg,,,
12,normal,"【夕暮れの情景/Evening Scene】\n\n日が沈み、六条院に帳が下ります。遠くで鳴く蜩の声が、はかない人の世を象徴しているかのようです。源氏は自らの振る舞いを反省しつつも、玉鬘をめぐる公達たちの競争を煽ることで、彼女の価値をさらに高めようと画策します。\n\n【English】\n\nAs the sun sets, darkness falls over Rokujo-in. The distant cry of the cicadas seems to symbolize the fleeting nature of the human world. Reflecting on his behavior, Genji nevertheless plots to increase Tamakazura's value by inciting competition among her suitors.","次へ (Next)→13,前の場面へ (Previous)→11",,,,,cicadas.mp3,sunset_garden.jpg,,,
13,normal,"【近江の君/The Lady from Omi】\n\n一方、内大臣のもとには、地方で育った風変わりな娘「近江の君」が引き取られていました。彼女の粗野で活発すぎる振る舞いは、洗練された都の貴族たちの中で浮いてしまい、物語に滑稽な彩りを添えています。\n\n【English】\n\nMeanwhile, the Minister of the Interior has taken in a strange daughter from the provinces, the Lady from Omi. Her coarse and overly energetic behavior stands out among the refined capital nobles, adding a touch of comedy to the narrative.","笑い飛ばす (Laugh it off)→14,前の場面へ (Previous)→12",,,,,cheerful.mp3,noisy_room.jpg,,,
14,normal,"【対比の妙/Masterful Contrast】\n\n高貴で奥ゆかしい玉鬘と、騒々しく教養に欠ける近江の君。作者・紫式部は、この二人の対照的な女性を描くことで、貴族社会における美徳と「育ち」の影響を鋭く描き出しています。内大臣は、玉鬘のような娘を欲して止みません。\n\n【English】\n\nThe noble and modest Tamakazura versus the noisy and uneducated Lady from Omi. By portraying these two contrasting women, Murasaki Shikibu sharply illustrates the virtues of aristocratic society and the influence of upbringing. The Minister longs for a daughter like Tamakazura.","深く考える (Think deeply)→15,前の場面へ (Previous)→13",,,,,thoughtful.mp3,tatami_room.jpg,,,
15,normal,"【休息/Rest】\n\n物語の中休みです。六条院の女房たちは、季節の移ろいを感じながら、美しい絹の衣を整えています。香を焚きしめ、身なりを整えることも、この時代の重要な教養であり、戦いの一部でもありました。\n\n【English】\n\nA brief interlude in the story. The ladies of Rokujo-in prepare beautiful silk robes, sensing the changing of the seasons. Burning incense and grooming oneself were essential accomplishments and even a form of battle in this era.","次へ進む (Next)→16,前の場面へ (Previous)→14",,,,,incense_smell.mp3,dressing_room.jpg,!eat,,
16,battle,"【噂との戦い/Battle with Rumors】\n\n宮中では、玉鬘の出自や源氏との関係について、心ない噂が飛び交っています。彼女はそれらの言葉の刃から自分の心を守らなければなりません。気高く振る舞うことが、彼女にとっての最大の武器となります。\n\n【English】\n\nIn the palace, unkind rumors circulate about Tamakazura's origins and her relationship with Genji. She must protect her heart from these verbal blades. Acting with dignity becomes her greatest weapon.",気高く振る舞う (Act with dignity),世間の噂 (Social Rumors),8,12,17,ominous.mp3,palace_hall.jpg,,,
17,normal,"【秋の訪れ/Arrival of Autumn】\n\n夏が過ぎ、風に秋の気配が混じり始めます。蛍の光は消え、代わりに虫の声が庭を満たします。源氏は、玉鬘への想いを整理しきれないまま、次の季節へと歩みを進めます。彼の人生は、常に美と苦悩が隣り合わせでした。\n\n【English】\n\nSummer passes, and the hint of autumn enters the breeze. The light of the fireflies fades, replaced by the chirping of insects. Genji moves toward the next season without fully resolving his feelings for Tamakazura. His life is an ever-present blend of beauty and anguish.","月を見る (Look at the moon)→18,前の場面へ (Previous)→16",,,,,autumn_wind.mp3,moon_view.jpg,,,
18,normal,"【原文/Original】\n\n「秋近うなりぬるにや、風の音も心細く、もののあはれなるを、玉鬘の君は、いとど心細く思ほし出づることのみ多かり。内大臣の御ありさま、いかならむと、恋しくのみ思ひ聞こえ給ふ」\n\n【現代語訳/Modern Japanese】\n\n「秋が近づいたせいでしょうか、風の音も心細く、物寂しく感じられます。玉鬘はますます心細く、物思いに耽ることが多くなりました。実の父である内大臣は今どうされているだろうかと、恋しく思うばかりなのでした」\n\n【English】\n\n'Perhaps because autumn is near, the sound of the wind is lonely and moving. Tamakazura found herself lost in melancholy thoughts more often. She could only think longingly of her father, the Minister of the Interior, wondering how he might be.'","心を鎮める (Calm the mind)→19,前の場面へ (Previous)→17",,,,,sad_koto.mp3,autumn_leaves.jpg,,,
19,normal,"【結び/Conclusion】\n\n「蛍」の巻は、美しくも残酷な光の演出によって、登場人物たちの隠された情念を照らし出しました。物語は、単なる恋物語を超え、人間の真実を追求する文学へと昇華されています。玉鬘の数奇な運命は、まだ始まったばかりです。\n\n【English】\n\nThe 'Firefly' chapter illuminated the hidden passions of the characters through a beautiful yet cruel display of light. The tale transcends a simple romance, evolving into literature that pursues human truth. Tamakazura's strange fate has only just begun.","最終場面へ (To the final scene)→20,前の場面へ (Previous)→18",,,,,grand_finale.mp3,shrine.jpg,,,
20,end,"【次巻予告/Next Chapter Preview】\n\n次巻「常夏（とこなつ）」。\n夏の盛りに、源氏と内大臣の対立が深まります。近江の君の騒動は加速し、玉鬘をめぐる恋の鞘当ても激化していきます。美しき「常夏の花（撫子）」に例えられるのは誰か。乞うご期待。\n\n【English】\n\nNext Chapter: 'Tokonatsu' (The Pink Flower).\nIn the height of summer, the rivalry between Genji and the Minister deepens. The chaos surrounding the Lady from Omi accelerates, and the battle for Tamakazura's heart intensifies. Who will be compared to the beautiful 'Wild Carnation'? Stay tuned.",おわり (End),,,,,clear_sky.mp3,next_chapter.jpg, ,,
