id,type,text,options,e_name,e_skill,e_hp,next,bgm,img/bgi,effect
611,normal,"区役所の冷房の効いたロビーで立ち止まる。\n郵便局でのやり取りを思い返すが、一度進んだ道を戻る感覚は、どこか虚しさを伴う。\n僕は手元のメモを握りしめ、再び冒険への決意を固めた。","再び進む→5",,,,,bgm_talk.mp3,img/bgi_office.png,hp-1
7,normal,"区役所を出た僕は、道に詳しい所員と相談して決めた瑞畝県までのルートを確認し、自転車のペダルに力を込めた。\nまずは江波街道を目指す。\nスポーツタイプの愛車の自転車の感触は軽く、追い風が僕の背中を後押ししてくれているようだ。\nしばらくは平らな道が続き、道端でリンゴを売っている長閑な風景が広がる。\n僕は今ヒットしている流行歌を口笛で吹きながら、全力で漕ぎ続けた。\n右手の視界の端には北群線の茶色い列車が走り去っていくのが見える。\n信号待ちや車の往来を考慮すれば、目的地まではやはり三時間はかかるだろう。\n道に迷う不安もあったが、それ以上に知らない土地へと突き進んでいく高揚感が僕を支配していた。\n僕は自分の尻を叩くようにして、さらに速度を上げた。","街道を進む→8,区役所へもどる→711",,,,,bgm_adventure.mp3,img/bgi_road.png,
711,normal,"街道の入り口から、一度来た道を振り返る。\n同じ景色を二度通ることは、冒険の新鮮さを失わせ、肉体的な疲労以上に僕の心を削っていく。\n僕は前を向き、再びペダルに全体重を乗せた。","再び進む→6",,,,,bgm_adventure.mp3,img/bgi_road.png,hp-1
8,normal,"ようやく五所川を渡り切り、向こう岸に辿り着いたところで、僕は土手に腰を下ろして一息つくことにした。\nバックパックから弁当箱を取り出すと、中には何の飾り気もないパン一枚とゆで卵が一玉。\nパンにはジャムもバターも塗っていないし、ゆで卵にかける塩さえ持ってくるのを忘れたのは大失敗だった。\nしかし、全力で自転車を漕ぎ後の屋外での食事は、素朴であればあるほど体に染み渡るように美味しい。\n普段なら嫌がって食べないようなものでも、今の僕なら平らげてしまえる気がした。\n土手には釣り人やジョギング中の人、散歩をする家族連れなど様々な人々がいたが、この時間に一人でいる小学生は僕だけだ。\n自分だけが特別な自由を享受しているような、密かな優越感に浸りながら昼食を終えた。","先へ進む→9,街道へもどる→811",,,,,bgm_peace.mp3,img/bgi_river.png,eat
811,normal,"河原の穏やかな風景を後にしようとして、つい街道の賑やかさが恋しくなる。\nしかし、進むべき方向を見失うことは、旅の終わりを意味する。\n僕は重い腰を上げ、再び冒険の続きへと足を踏み出した。","再び進む→7",,,,,bgm_peace.mp3,img/bgi_river.png,hp-1
9,normal,"瑞畝県に入るまでは殆ど直線距離の走行が続く。\n幹中自動車道を潜り、いくつもの大きな街道を横切っていくうちに、景色は少しずつ都市の色を失い始めた。\n江波から紫音寺へ、さらに三十田市街道を越えていく中で、僕はふと重大な事実に直面した。\n自分は本当に、あの小学校を卒業したんだ。\n六年間という、生まれてから半分以上を過ごしたあの場所。\n泣き虫だった低学年の頃、友達との喧嘩、怪我をして入院したこと、校庭でのドッジボールやサッカー、掃除の時間や学級会の喧騒。\n思い出そうとすれば切りがないほど記憶が溢れ出してくる。\nそれら全てが、もう「過去」のものになってしまったのだ。\n昨日までの居場所がなくなったという感覚が、ペダルを漕ぐ足を少しだけ重くさせた。","思い出に浸る→10,河原へもどる→911",,,,,bgm_sad.mp3,img/bgi_road.png,
911,normal,"直線道路の途中で、川のせせらぎが聞こえた気がして足を止める。\n過去と未来の間で揺れ動く僕の心は、同じ場所を彷徨うたびに少しずつ摩耗していく。\n僕は無理やり前を見据え、ペダルを踏み込んだ。","再び進む→8",,,,,bgm_sad.mp3,img/bgi_road.png,hp-1
10,normal,"僕は自分に問いかける。\nここで終わりじゃない、むしろここが新しい始まりなんだと。\n僕ももうすぐ制服を着た中学生になる。\nしかし、中学校という言葉から連想されるのは、厳しすぎる部活、陰湿な先輩後輩関係、校内暴力、避けては通れない受験……。\n何だこりゃ、つまらなそうなものばかりではないか。\n特に一つ上の学年は、五年生の時に威張り散らしていたあの六年生たちなのだ。\n彼らが先輩として君臨する世界に見通しは暗い。\n昨日卒業したばかりだというのに、僕はもう小学校の楽しさが懐かしくてたまらなくなってしまった。\n未来に対する期待よりも、正体のわからない巨大な不安の方が遥かに大きく、僕の心臓をじりじりと締め付ける。","不安を払う→11,街道へもどる→1011",,,,,bgm_sad.mp3,img/bgi_road.png,
1011,normal,"不安に押しつぶされそうになり、つい先ほどまで走っていた街道の景色を追い求めてしまう。\nしかし、過去を振り返ることは、今の僕の体力を確実に奪っていく。\n僕は深呼吸をし、再び現実と向き合った。","再び進む→9",,,,,bgm_sad.mp3,img/bgi_road.png,hp-1
11,battle,"進むべき道が突然、暗い霧に包まれたような感覚に陥った。\n僕の心が生み出した「将来への停滞感」が、実体のない黒い怪物となって行く手を阻む。\n小学校という守られた場所を離れ、未知の世界へ踏み出すことへの根源的な恐怖が、僕を押し戻そうとしているのだ。\nこのままでは前に進めない。\n僕は強くハンドルを握りしめ、中学への不安や自分自身への疑念を打ち砕くために立ち向かった。\nこれは自転車で走るだけの旅ではない、自分の中にある「弱さ」を乗り越えるための試練なのだ。\n僕は勇気を振り絞り、心の影に向かって全力で突進した。","恐怖を突破する",未知への恐怖,6,6,12,bgm_battle.mp3,img/bgi_battle.png,
12,normal,"激しい葛藤を乗り越え、僕はガソリンスタンドに寄って用を足すことにした。\n休憩所の片隅で冷たいジュースを飲む。\n僕はいつもサイクリングの時、あえてコンビニではなくガソリンスタンドのトイレを借りることにしている。\n公園のトイレはだいたい汚いし、コンビニでは何かを買わなければならないという義務感が生じるが、ガソリンスタンドなら道からもよく見える場所に便所があり、まるで自分が長旅を続ける熟練の旅人や、一人前の大人になったような気分になれるからだ。\n少し背伸びをした感覚が、僕に束の間の自信を与えてくれた。\n時刻は14時。\nこのまま順調にいけば、15時には目的地の石の都に着くだろう。\n僕は再びサドルに跨り、ペダルを力強く踏み出した。","旅を再開→13,街道へもどる→1211",,,,,bgm_peace.mp3,img/bgi_gs.png,luck+1
1211,normal,"ガソリンスタンドの給油機の音を聞きながら、先ほどまでの激闘を思い出す。\n一度安らぎを得た場所から離れるのは、想像以上にエネルギーを必要とする。\n僕はジュースの空き缶を捨て、再び走り出した。","再び進む→10",,,,,bgm_peace.mp3,img/bgi_road.png,hp-1
13,normal,"風景はいつしかのどかな田園地帯へと変わっていた。\n車の通りも少なくなり、僕はゆったりと漕ぎながら物思いに耽っていた。\nところが、その油断が仇となった。\nふと我に返ると、僕は見事に道に迷っていた。\nやっちまった、ここは一体どこだ。\n見渡す限りの田畑が広がり、後を振り返れば初めて見るような地平線が見える。\n碁盤の目のように小道が複雑に交差しており、それらは遥か彼方の山影へと消えている。\n辺りには民家一軒見当たらず、聞こえてくるのは風の音だけだ。\n感動している暇はない、早く足立和彦さんの家を見つけなければならない。\n14時半を過ぎ、太陽はいつの間にか雲に隠れ、さっきまでの明るい日差しは見る影もなくなっていた。","周囲を探る→14,ガソリンスタンドへもどる→1311",,,,,bgm_lost.mp3,img/bgi_field.png,
1311,normal,"どこまでも続く田んぼの中で、来た道を必死に思い出そうとする。\nしかし、迷いの中で同じ場所をぐるぐると回ることは、体力を激しく消耗させる。\n僕は自分の直感を信じ、再び闇雲に走り出した。","再び進む→12",,,,,bgm_lost.mp3,img/bgi_field.png,hp-1
14,normal,"見ると、向こう側の道に人影が見えた。\n人だ！僕は腰を浮かせ、がむしゃらにペダルを漕いでその人影に近づいた。\n帽子を被り、手拭いを首に掛けた農家の人だった。\n何か聞こうとしたが、その人の何気ない視線を受けた瞬間、僕はそのまま通り過ぎてしまった。\nそうだ、焦る必要はない。\nここに住んでいる人にとってはここは日常の町であり、道に迷うこともないのだ。\nどうせ明日も休みだし、ここは地続きの国なのだ。\n僕は再び気楽に口笛を吹き始め、三十分ほど走り続けた。\nそしてついに、花の咲き乱れる柵に囲まれた「石の都」に辿り着いた。\nそこには三百軒ほどもあろうかという同じ形の家々が整然と並び、まるで無機質な石の倉庫が並んでいるような、不思議な光景が広がっていた。","足立の家へ→15,迷った道へもどる→1411",,,,,bgm_lost.mp3,img/bgi_town.png,hp-1
1411,normal,"農家の方との無言のすれ違いを思い出し、何か聞けばよかったと後悔する。\nしかし、後悔は足を重くするだけだ。\n僕は自分の決断に責任を持ち、石の都の奥深くへと進んでいった。","再び進む→13",,,,,bgm_lost.mp3,img/bgi_field.png,hp-1
15,normal,"石の都の風景は、人間の生活臭が極限まで削ぎ落とされているようで、ただ眺めているだけで酔ってしまいそうだった。\n僕は区役所で聞いた住所を頼りに、一軒一軒表札を確認しながら進んだ。\nそしてついに、目的の「足立」という名が刻まれた家を見つけ出した。\n外観は周囲の家と寸分違わず同じだが、駐車場には少し人相の悪い、手入れの行き届いていない車が置かれていた。\nカーテンは固く閉ざされているものの、中に誰かがいる気配はある。\n僕は緊張で喉が渇くのを感じながら、重い足取りで玄関まで歩み寄った。\n30年前の子供が託した想いを、今から僕は届けるのだ。\n指先を震わせながら、僕はインターホンのボタンを強く押し込んだ。","インターホンを押す→16,入口へもどる→1511",,,,,bgm_mystic.mp3,img/bgi_door.png,
1511,normal,"整然と並ぶ家々の前で立ち止まり、あえて入り口まで引き返そうとする。\nしかし、ここまでの長い道のりを思えば、それは自分への裏切りに等しい。\n僕は震える手を抑え、再び足立の家へと向かった。","再び向かう→14",,,,,bgm_mystic.mp3,img/bgi_town.png,hp-1
16,normal,"チャイムを鳴らしてしばらく待ったが、返事はない。\n僕はもう一度ボタンを押した。\nやがて内側から重い足音が聞こえ、ドアがゆっくりと開いた。\nそこに立っていたのは、僕が想像していたような「足立和彦君」の面影など全くない、実年齢よりもだいぶ老けた印象の、背の高い不機嫌そうな男だった。\n「はい、何でしょう」という声は低く、威圧的だ。\n男は大信を見るなり「何だお前は、イタズラはやめろ。\n早く行け」と吐き捨てるように言い、僕の言葉を待たずにドアを乱暴に閉めてしまった。\n僕は唖然としてその場に立ち尽くしたが、ここで引き下がるわけにはいかない。\n５０キロを走ってきた僕の執念は、そんなに安くないのだ。","もう一度押す→17,門の外へもどる→1611",,,,,bgm_none.mp3,img/bgi_door.png,
1611,normal,"閉ざされたドアの前で、かつての自分自身の熱意を疑いそうになる。\n門の外へ戻り、この場から逃げ出したい誘惑に駆られるが、それは体力を削るだけの無駄な抵抗だ。\n僕は再び玄関の前に立った。","再び玄関へ→15",,,,,bgm_none.mp3,img/bgi_door.png,hp-1
17,normal,"僕は三度インターホンを押し続けた。\n再びドアが開き、男が髪をかきむしりながら姿を現した。\n「うるさいんだよお前は！何の用だ、俺は仕事中なんだよ！警察を呼ぶぞ！」\n男の怒号が住宅街に響き渡る。\n僕はひるまずに、バックパックからあの大切な封書を取り出し、男の目の前に突きつけた。\n「あ、タイムカプセル！これを届けに来ました！30年前のあなたからの手紙なんです！覚えてないんですか！」\n男は「あっそ」とだけ冷たく言い放ち、またしてもドアを閉めようとした。\n僕はその隙間に向かって叫んだ。\n「足立さん！僕には全く関係ないことだけど、この手紙はあなたにとって大事なもののはずです！」\nそれでも家の中からは何も聞こえてこなくなった。","叫び続ける→18,拒絶にもどる→1711",,,,,bgm_none.mp3,img/bgi_door.png,
1711,normal,"男の罵声が耳に残り、心が激しく消耗する。\n一度目の拒絶の瞬間に戻ってしまいたいという弱気が、僕の活力を奪っていく。\n僕は深呼吸をし、喉の痛みを堪えて再び叫ぶ準備をした。","気を取り直す→16",,,,,bgm_none.mp3,img/bgi_door.png,hp-1
18,normal,"「足立君！」\n僕はあえて彼を君付けで呼んだ。\nすると、その言葉に反応したのか、ゆっくりとドアが開いた。\n僕はそのわずかな隙間を見逃さず、手紙を玄関の床へと滑り込ませた。\nドアは再びバタンと大きな音を立てて閉ざされたが、僕はその場を去ることができなかった。\n何にも反応はなかったが、僕は外で自分の自転車に腰掛け、何かが起きるのをじっと待ってみた。\n空はますます暗くなり、昼間の冒険の高揚感はどこかへ消え、冷たい不安が再び足元から這い上がってくるのを感じた。\nそれからどれほどの時間が経っただろうか。\n不意に玄関のドアが開き、足立が外へ出てきた。\n彼は僕の姿を見つけると、「まだ居たのか君は」と言いながら、塀に静かに寄り掛かった。","話を聞く→19,沈黙にもどる→1811",,,,,bgm_none.mp3,img/bgi_house.png,
1811,normal,"日が暮れていく石の都で、静寂に押しつぶされそうになる。\n先ほどの沈黙の時間が永遠のように感じられ、戻るたびに心臓が磨り減る。\n僕は塀に寄りかかる足立を見つめ、勇気を出して言葉を待った。","気を取り直す→17",,,,,bgm_none.mp3,img/bgi_house.png,hp-1
19,normal,"足立は手元にある30年前の自分が書いた手紙を見つめていた。\n僕は彼の隣へ歩み寄り、その手紙を横から覗き込んでみた。\n手紙の一部がわずかに光ってふやけている。\nそれが彼の涙なのか、それとも時間の経過によるものなのかはわからなかった。\n「ちょうど君ぐらいのころ、季節も今ぐらいかな、小学校を卒業する前に書いたんだ。」\n足立は、先ほどまでの荒々しさが嘘のように穏やかな口調で語り始めた。\n僕は「僕も昨日卒業したばかりなんですよ」と答えた。\n彼は手紙をなぞるようにしながら続けた。\n「僕は人一倍不安でたまらなくてね。\nでもね、不安なのは中学校の生活じゃなかったんだ。\n『自分が』どうなるのかが不安だったわけだ。\n今の君みたいな新鮮な気持ちを忘れたくなくてね。」","足立を見る→20,待ちなおす→1911",,,,,bgm_piano.mp3,img/bgi_man.png,
1911,normal,"足立の独白を聞きながら、かつての彼の孤独を想像する。\n一歩引いて、再び彼の様子を伺おうとするが、それは精神的なスタミナを無情に削る行為だ。\n僕は彼の隣に居続け、その言葉を胸に刻んだ。","気を取り直す→18",,,,,bgm_piano.mp3,img/bgi_man.png,hp-1
20,normal,"「気が付いたらこんなに目が濁っちまって……。」\n足立は自嘲気味に笑い、自分の指先を見つめた。\n僕は思わず「いや、もう大丈夫だと思いますよ」と言葉を返した。\n彼は手紙の拙い筆跡を見て、「こんな下手な字、今じゃ書けないね。\n練習しなきゃ書けないような下手くそな字だ。\nでもあの頃は、何も考えなくても書けた。\nこんな下手な文、二度と書けない。\nでもこれが僕の字だし、これが僕の文だったんだ」と、どこか懐かしそうに、そして誇らしそうに語った。\n大人の足立にとって、その下手くそな字は、どんな名文よりも価値のある自分自身の証明だったのだ。\n僕は彼の言葉に深い感銘を受け、「いい事言いますね」と率直な気持ちを伝えた。","提案を聞く→21,語りにもどる→2011",,,,,bgm_piano.mp3,img/bgi_man.png,
2011,normal,"手紙に込められた時間の重みに圧倒され、つい先ほどまでの会話を反芻してしまう。\n過去の言葉に戻るたびに、今の僕の気力が少しずつ失われていく。\n僕は前を見据え、足立の次の言葉を待った。","気を取り直す→19",,,,,bgm_piano.mp3,img/bgi_man.png,hp-1
21,normal,"「君も、書いてみるといい。」\n足立は手紙をしまい、僕の目を見て静かに言った。\nその視線はもう、不審者を追い払う大人のものではなく、かつての自分と同じ年頃の少年を見る優しいものに変わっていた。\n僕は「早速帰ったら書いてみます」と元気よく答えた。\nすると彼は少しだけ眉をひそめ、「違うね」と僕の言葉を遮った。\n僕は「は？」と首を傾げた。\n彼はニヤリと笑ってこう付け加えた。\n「『書いてみます』じゃないよ、『書いてみるよ』だろう。」\n敬語という壁を取り払い、同じ不安を抱えて未来へ進む一人の人間としての対等な返事を、彼は求めていたのだ。\n僕はその真意を悟り、少し照れくさそうに笑った。","約束を交わす→22,対話にもどる→2111",,,,,bgm_peace.mp3,img/bgi_man.png,
2111,normal,"足立との不思議な絆を感じながら、今の対話をもう一度心の中で繰り返す。\nしかし、立ち止まり続けることは今の僕の活力を奪う。\n僕は意を決して、彼と同じ言葉の地平に立とうと決めた。","気を取り直す→20",,,,,bgm_peace.mp3,img/bgi_man.png,hp-1
22,normal,"「……うん、分かった。書いてみるよ！」\n僕がそう言い直すと、足立は満足そうに頷き、家の中から冷たいペットボトルのジュースを持ってきて僕に手渡した。\n「さあ、それを飲んだら早く行け。暗くなる前に帰るんだぞ。」\n僕はジュースを受け取ると、彼に別れを告げて自転車のペダルを踏んだ。\n帰り道、空は相変わらず厚い雲に覆われていたが、僕の心は驚くほど軽くなっていた。\n足立さんとの出会いは、僕の中にあった正体不明の不安を、少しだけ形のある「自分への課題」に変えてくれたような気がした。\n僕はもう、見通しの暗い中学校生活を恐れるだけの少年ではない。\n今この瞬間の、この熱い気持ちを文字にして未来へ残すという、新しい任務を抱えた冒険者なのだ。","一息つく→221,足立の家へもどる→2211",,,,,bgm_peace.mp3,img/bgi_sky.png,food+1
221,normal,"もらったジュースを飲み干すと、乾いた身体に力が戻る。\n冷たい液体が喉を通るたび、足立さんの言葉が改めて胸に染み渡る気がした。\n僕はジュースの空き缶をバックパックに入れ、再び家路へとペダルを漕ぎ出した。","家路を急ぐ→23",,,,,bgm_peace.mp3,img/bgi_sky.png,!eat
2211,normal,"自転車のペダルを一漕ぎするたびに、足立の家の風景が遠ざかる。\n後ろ髪を引かれる思いで引き返そうとするが、それは冒険を終わらせるためのエネルギーを浪費するだけだ。\n僕は前を向き、走り出した。","再び進む→21",,,,,bgm_peace.mp3,img/bgi_sky.png,hp-1
23,battle,"帰り道、最後にして最大の試練が僕を待ち受けていた。\n空は暗く、風は冷たさを増していく。\n僕の心の中に潜んでいた「未来への絶望」が、巨大な黒い影となって再び姿を現したのだ。\n「大人の足立もあんなに疲れていたじゃないか」「お前もあんな風に目が濁るんだ」という内なる声が、僕の行く手を阻む。\nしかし、僕はもう立ち止まらない。\n足立さんが手紙を通じて僕に教えてくれたこと、そして僕が彼と交わした約束が、今の僕にはある。\n僕はハンドルを力強く握りしめ、自分の未来を自分で切り拓くために、この最後の影へと立ち向かった。\nこれは僕が「子供」を卒業し、「大人」への一歩を踏み出すための試練なのだ。","影を打ち破る",未来への絶望,8,7,24,bgm_battle.mp3,img/bgi_battle2.png,
24,end,"激しい心の中の戦いの末、僕はついに自分自身の影を振り払った。\n気がつくと、あんなに重かったペダルが驚くほど軽快に回っている。\n日が沈む時刻になったが、夕焼けはなく、相変わらず空は曇ったままだった。\n\n･・・しかし、そんな空の片隅で、かすかに日の光が漏れているような気がした。\n\nいや、必ず光っているだろう。\n\n必ず。","おわり",,,,,bgm_happy.mp3,img/bgi_last.png,
